# ECG data file (CSV format)
# Sampling rate: 250 Hz
# Columns: time (s), lead_I (mV), lead_II (mV), lead_III (mV)

time,lead_I,lead_II,lead_III
0.000,-0.02,0.03,0.05
0.004,-0.01,0.04,0.06
0.008,0.00,0.05,0.07
0.012,0.01,0.06,0.08
0.016,0.02,0.07,0.09
0.020,0.03,0.08,0.09
0.024,0.02,0.07,0.08
0.028,0.00,0.05,0.06
0.032,-0.01,0.03,0.04
0.036,-0.02,0.02,0.03
0.040,-0.01,0.03,0.04
0.044,0.00,0.05,0.06
0.048,0.01,0.06,0.07
0.052,0.02,0.07,0.08
0.056,0.03,0.08,0.09
0.060,0.04,0.09,0.10
0.064,0.03,0.08,0.09
0.068,0.02,0.06,0.08
0.072,0.00,0.04,0.06
0.076,-0.01,0.02,0.04
0.080,-0.02,0.01,0.03
0.084,-0.01,0.03,0.04
0.088,0.00,0.05,0.06
0.092,0.01,0.06,0.07
0.096,0.02,0.07,0.08
0.100,0.03,0.08,0.09
0.104,0.02,0.07,0.08
0.108,0.01,0.05,0.06
0.112,-0.01,0.03,0.04
0.116,-0.02,0.02,0.03
0.120,-0.01,0.03,0.04
0.124,0.00,0.05,0.06
0.128,0.02,0.07,0.08
0.132,0.03,0.08,0.09
0.136,0.04,0.09,0.10
0.140,0.03,0.08,0.09
0.144,0.01,0.06,0.07
0.148,-0.01,0.03,0.04
0.152,-0.02,0.02,0.03
0.156,-0.01,0.03,0.04
0.160,0.00,0.05,0.06
0.164,0.02,0.07,0.08
0.168,0.03,0.08,0.09
0.172,0.04,0.09,0.10
0.176,0.03,0.08,0.09
0.180,0.02,0.07,0.08
0.184,0.00,0.05,0.06
0.188,-0.01,0.03,0.04
0.192,-0.02,0.02,0.03
0.196,-0.01,0.03,0.04
0.200,0.00,0.05,0.06
