epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1307.01,1.12298,1.97349,0.98321,0.70934,0.6502,0.72252,0.54271,0.91804,1.06411,0.95516,0.00999459,0.00333153,0.00999459,0.00333153,0.00999459,0.00333153,0.00999459,0.00333153
2,2009.43,1.06196,1.15925,0.96787,0.835,0.81242,0.88766,0.69326,0.84285,0.7618,0.93063,0.0195987,0.0065329,0.0195987,0.0065329,0.0195987,0.0065329,0.0195987,0.0065329
3,2694.03,1.08156,1.02094,0.97891,0.80065,0.75727,0.82519,0.61902,0.89265,0.83237,0.96898,0.0288068,0.00960227,0.0288068,0.00960227,0.0288068,0.00960227,0.0288068,0.00960227
4,3359.62,1.06523,0.92029,0.98084,0.83778,0.8095,0.88525,0.69746,0.83571,0.71067,0.95005,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4019.31,1.02278,0.80226,0.96712,0.86453,0.85841,0.90469,0.72136,0.79809,0.63993,0.92716,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4693.48,0.99324,0.74817,0.95803,0.86675,0.83427,0.90377,0.72597,0.78874,0.62921,0.92734,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5298.1,0.97429,0.70576,0.95078,0.88745,0.87975,0.9345,0.74949,0.78758,0.56891,0.92672,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5972.68,0.96186,0.68381,0.94561,0.88588,0.90013,0.93763,0.763,0.76196,0.54926,0.91624,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6649.46,0.95383,0.65593,0.94358,0.91671,0.9259,0.95641,0.78129,0.76675,0.49347,0.9136,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9445.85,0.93949,0.63358,0.93886,0.91658,0.90077,0.94445,0.7765,0.7568,0.49493,0.90816,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10092.5,0.93139,0.62261,0.93601,0.91583,0.9232,0.95815,0.79118,0.73861,0.46794,0.90252,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
